participant_id	Gender	Age	Education Level 	Socioeconomic Status 
201	2	25	Master's, Doctoral, or Professional degree	7
202	2	24	Master's, Doctoral, or Professional degree	7
203	1	19	Bachelor's degree	7
204	2	21	Bachelor's degree	5
205	2	21	Bachelor's degree	4
206	2	21	Bachelor's degree	6
207	2	24	Master's, Doctoral, or Professional degree	5
208	2	21	Bachelor's degree	4
209	2	25	Master's, Doctoral, or Professional degree	4
210	2	21	Bachelor's degree	2
211	2	21	Bachelor's degree	7
212	1	23	Master's, Doctoral, or Professional degree	6
213	2	24	Master's, Doctoral, or Professional degree	5
214	1	21	Bachelor's degree	2
215	2	21	Bachelor's degree	5
216	2	21	Bachelor's degree	6
217	1	24	Bachelor's degree	5
218	1	23	Bachelor's degree	6
219	2	23	Master's, Doctoral, or Professional degree	5
220	2	17	Bachelor's degree	4
221	1	25	Master's, Doctoral, or Professional degree	6
222	1	22	Bachelor's degree	5
223	2	21	Bachelor's degree	2
225	2	22	Bachelor's degree	4
226	1	21	Bachelor's degree	4
227	1	21	Bachelor's degree	4
228	1	27	Master's, Doctoral, or Professional degree	5
229	1	22	Bachelor's degree	4
230	2	27	Master's, Doctoral, or Professional degree	3
231	2	18	Bachelor's degree	6
232	2	19	Bachelor's degree	7
233	2	21	Bachelor's degree	6
234	1	20	Bachelor's degree	3
235	2	20	Bachelor's degree	5
236	2	28	Master's, Doctoral, or Professional degree	5
237	2	23	Master's, Doctoral, or Professional degree	5
238	2	26	Master's, Doctoral, or Professional degree	7
239	2	19	Bachelor's degree	5
240	1	20	Bachelor's degree	5
241	2	22	Master's, Doctoral, or Professional degree	5
242	2	23	Master's, Doctoral, or Professional degree	5
243	1	25	Master's, Doctoral, or Professional degree	6
244	1	20	Bachelor's degree	4
245	2	24	Master's, Doctoral, or Professional degree	7
246	2	18	Bachelor's degree	6
247	1	24	Bachelor's degree	3
